name,value,year,lastValue,rank
TAXI,112,2018.4,112,1
TAXI,1771,2017.6,1771,1
TAXI,6938,2018.4,6938,1
TAXI,16881,2016.11,16881,1
TAXI,7416,2019.2,7416,1
TAXI,17,2015.4,17,1
TAXI,3658,2018.4,3658,1
TAXI,3059,2018.12,3059,1
TAXI,19316,2017.7,19316,1
TAXI,182,2018.11,182,1
TAXI,7571,2018.4,7571,1
TAXI,3525,2018.8,3525,1
TAXI,25,2019.7,25,1
TAXI,8114,2015.7,8114,1
TAXI,639,2018.12,639,1
TAXI,19123,2017.1,19123,1
TAXI,2471,2019.5,2471,1
TAXI,17,2019.8,17,1
TAXI,29,2017.7,29,1
TAXI,145,2018.8,145,1
TAXI,196,2019.7,196,1
TAXI,37,2019.5,37,1
TAXI,8175,2017.3,8175,1
TAXI,744,2017.6,744,1
TAXI,154,2017.11,154,1
TAXI,6052,2018.12,6052,1
TAXI,54,2019.3,54,1
TAXI,10787,2016.12,10787,1
TAXI,2631,2016.8,2631,1
TAXI,1324,2015.5,1324,1
TAXI,7028,2017.6,7028,1
TAXI,88,2016.3,88,1
TAXI,2833,2017.6,2833,1
TAXI,1306,2019.2,1306,1
TAXI,712,2016.8,712,1
TAXI,173,2019.2,173,1
TAXI,12,2018.12,12,1
TAXI,2784,2018.2,2784,1
TAXI,6690,2016.12,6690,1
TAXI,8506,2018.7,8506,1
TAXI,275,2019.5,275,1
TAXI,929,2015.6,929,1
TAXI,18877,2017.2,18877,1
TAXI,3227,2017.8,3227,1
TAXI,1777,2018.11,1777,1
TAXI,3159,2017.1,3159,1
TAXI,4110,2017.7,4110,1
TAXI,3425,2016.7,3425,1
TAXI,1063,2018.3,1063,1
TAXI,7205,2016.9,7205,1
TAXI,10287,2016.12,10287,1
TAXI,813,2017.8,813,1
TAXI,1097,2019.7,1097,1
TAXI,1221,2017.6,1221,1
TAXI,587,2019.7,587,1
TAXI,826,2018.1,826,1
TAXI,24,2017.11,24,1
TAXI,2353,2017.9,2353,1
TAXI,3583,2019.6,3583,1
TAXI,338,2019.3,338,1
TAXI,3158,2016.1,3158,1
TAXI,67635,2015.10,67635,1
TAXI,9259,2018.11,9259,1
TAXI,3787,2018.2,3787,1
TAXI,8644,2017.2,8644,1
TAXI,9937,2016.10,9937,1
LYFT,3144050,2018.2,3144050,3
TAXI,29501,2019.7,29501,1
TAXI,2125,2019.9,2125,1
TAXI,144,2019.6,144,1
TAXI,1457,2015.5,1457,1
TAXI,4028,2016.9,4028,1
TAXI,17423,2016.4,17423,1
TAXI,37931,2015.11,37931,1
TAXI,8348,2019.4,8348,1
TAXI,4946,2016.3,4946,1
TAXI,4633,2016.3,4633,1
TAXI,215,2019.1,215,1
TAXI,1239,2016.9,1239,1
TAXI,800,2017.1,800,1
TAXI,7995,2017.6,7995,1
TAXI,1,2015.12,1,1
TAXI,1883,2018.4,1883,1
TAXI,543,2015.7,543,1
TAXI,2735,2015.8,2735,1
TAXI,8,2017.3,8,1
TAXI,2331,2017.12,2331,1
TAXI,43596,2018.1,43596,1
TAXI,460,2019.9,460,1
TAXI,542,2018.6,542,1
TAXI,321,2017.8,321,1
TAXI,3182,2018.10,3182,1
TAXI,1833,2017.3,1833,1
TAXI,2837,2019.8,2837,1
TAXI,26,2019.2,26,1
TAXI,123,2019.8,123,1
TAXI,59,2017.1,59,1
TAXI,746,2017.5,746,1
TAXI,1253,2018.6,1253,1
TAXI,6783,2018.3,6783,1
TAXI,1266,2019.9,1266,1
TAXI,3336,2018.2,3336,1
TAXI,719,2019.6,719,1
TAXI,618,2015.10,618,1
TAXI,23,2017.8,23,1
TAXI,8985,2018.7,8985,1
TAXI,2692,2015.6,2692,1
TAXI,181,2018.2,181,1
TAXI,184,2019.3,184,1
TAXI,1555,2017.8,1555,1
TAXI,671,2018.3,671,1
TAXI,5974,2018.7,5974,1
TAXI,923,2016.9,923,1
TAXI,54,2017.4,54,1
TAXI,669,2016.2,669,1
TAXI,5602,2015.10,5602,1
TAXI,427,2019.5,427,1
TAXI,360,2016.6,360,1
TAXI,2728,2016.5,2728,1
TAXI,296,2016.8,296,1
TAXI,4063,2017.6,4063,1
TAXI,6521,2015.9,6521,1
TAXI,9695,2019.6,9695,1
TAXI,306,2018.4,306,1
TAXI,15,2017.4,15,1
TAXI,32,2016.3,32,1
TAXI,3752,2016.2,3752,1
TAXI,19,2016.7,19,1
TAXI,2723,2017.2,2723,1
TAXI,1770,2019.2,1770,1
TAXI,492,2018.8,492,1
TAXI,8606,2017.12,8606,1
TAXI,3,2018.5,3,1
TAXI,7008,2018.11,7008,1
TAXI,1730,2016.4,1730,1
TAXI,14840,2016.3,14840,1
TAXI,1997,2017.12,1997,1
TAXI,479,2019.5,479,1
TAXI,4979,2018.5,4979,1
TAXI,112,2018.6,112,1
TAXI,3673,2018.11,3673,1
TAXI,337,2019.7,337,1
TAXI,128,2017.12,128,1
TAXI,7680,2018.4,7680,1
TAXI,1431,2019.7,1431,1
TAXI,150,2018.3,150,1
TAXI,7393,2016.1,7393,1
TAXI,1709,2016.1,1709,1
TAXI,108,2017.10,108,1
TAXI,730,2016.2,730,1
TAXI,153,2017.12,153,1
TAXI,1419,2018.7,1419,1
TAXI,948,2016.3,948,1
TAXI,17459,2015.10,17459,1
TAXI,1654,2017.9,1654,1
TAXI,448,2015.9,448,1
TAXI,1363,2017.4,1363,1
TAXI,255,2018.12,255,1
TAXI,565,2017.8,565,1
TAXI,35,2017.4,35,1
TAXI,203,2018.4,203,1
TAXI,303,2019.2,303,1
TAXI,8031,2018.7,8031,1
TAXI,1285,2016.9,1285,1
TAXI,1564,2016.4,1564,1
TAXI,8256,2016.11,8256,1
TAXI,1374,2017.11,1374,1
TAXI,103,2015.12,103,1
TAXI,523,2017.9,523,1
TAXI,132,2017.7,132,1
TAXI,39,2017.11,39,1
TAXI,1390,2016.11,1390,1
TAXI,2252,2016.6,2252,1
TAXI,438,2018.5,438,1
TAXI,5178,2019.4,5178,1
TAXI,39,2017.11,39,1
TAXI,17203,2016.6,17203,1
TAXI,1507,2017.10,1507,1
TAXI,3290,2019.6,3290,1
TAXI,272,2017.3,272,1
TAXI,4736,2018.4,4736,1
TAXI,3734,2019.5,3734,1
TAXI,1120,2019.4,1120,1
TAXI,1201,2017.4,1201,1
TAXI,5575,2018.8,5575,1
TAXI,11705,2016.7,11705,1
TAXI,1136,2017.6,1136,1
TAXI,175,2018.11,175,1
TAXI,19434,2017.5,19434,1
TAXI,25869,2015.3,25869,1
TAXI,2588,2017.6,2588,1
TAXI,12883,2017.7,12883,1
TAXI,1138,2015.9,1138,1
TAXI,294,2019.5,294,1
TAXI,305,2016.3,305,1
TAXI,2563,2015.11,2563,1
TAXI,65083,2015.10,65083,1
TAXI,2437,2015.5,2437,1
TAXI,268,2015.12,268,1
TAXI,944,2019.1,944,1
TAXI,6592,2018.8,6592,1
TAXI,1587,2017.12,1587,1
TAXI,1879,2017.7,1879,1
TAXI,1736,2017.6,1736,1
TAXI,5222,2018.9,5222,1
TAXI,1184,2017.4,1184,1
TAXI,17,2019.8,17,1
TAXI,30203,2016.3,30203,1
TAXI,20634,2016.4,20634,1
TAXI,1978,2019.8,1978,1
TAXI,76,2016.10,76,1
TAXI,47,2017.7,47,1
TAXI,35,2018.11,35,1
TAXI,5163,2019.7,5163,1
TAXI,3007,2018.7,3007,1
TAXI,2829,2015.9,2829,1
TAXI,14,2018.1,14,1
TAXI,4166,2017.12,4166,1
TAXI,1561,2019.8,1561,1
TAXI,8446,2015.6,8446,1
TAXI,671,2017.1,671,1
TAXI,4713,2018.9,4713,1
TAXI,15126,2018.1,15126,1
TAXI,608,2019.3,608,1
TAXI,4806,2017.2,4806,1
TAXI,12206,2017.12,12206,1
TAXI,947,2019.9,947,1
TAXI,544,2019.1,544,1
TAXI,45,2019.5,45,1
TAXI,1496,2015.10,1496,1
TAXI,4457,2019.8,4457,1
TAXI,11,2019.7,11,1
TAXI,3223,2019.3,3223,1
TAXI,108,2016.7,108,1
TAXI,36338,2016.8,36338,1
TAXI,37,2018.9,37,1
TAXI,8060,2019.7,8060,1
TAXI,1414,2019.7,1414,1
TAXI,2358,2018.10,2358,1
TAXI,32,2019.2,32,1
TAXI,12296,2017.6,12296,1
TAXI,2963,2015.10,2963,1
TAXI,41687,2016.1,41687,1
TAXI,332,2016.6,332,1
TAXI,5481,2019.4,5481,1
TAXI,2925,2017.10,2925,1
TAXI,1287,2018.6,1287,1
TAXI,591,2019.8,591,1
LYFT,4623412,2019.1,4623412,3
TAXI,3388,2018.8,3388,1
TAXI,1058,2016.3,1058,1
TAXI,2595,2015.12,2595,1
TAXI,5949,2016.3,5949,1
TAXI,395,2017.11,395,1
TAXI,2070,2017.2,2070,1
TAXI,977,2017.9,977,1
TAXI,3131,2019.1,3131,1
TAXI,1432,2017.3,1432,1
TAXI,1,2019.3,1,1
TAXI,211,2017.11,211,1
TAXI,13169,2017.7,13169,1
TAXI,3716,2017.12,3716,1
TAXI,2821,2015.11,2821,1
TAXI,7922,2016.1,7922,1
TAXI,3,2017.10,3,1
TAXI,11784,2018.11,11784,1
TAXI,2408,2018.6,2408,1
TAXI,837,2016.2,837,1
TAXI,6228,2016.10,6228,1
TAXI,6611,2018.9,6611,1
TAXI,18474,2018.11,18474,1
TAXI,5033,2019.6,5033,1
TAXI,903,2017.1,903,1
TAXI,1410,2017.8,1410,1
TAXI,11079,2017.11,11079,1
TAXI,28243,2015.4,28243,1
TAXI,1099,2017.12,1099,1
TAXI,2043,2018.12,2043,1
TAXI,737,2018.7,737,1
TAXI,10201,2017.7,10201,1
TAXI,108,2019.3,108,1
TAXI,1448,2018.2,1448,1
TAXI,390,2019.1,390,1
TAXI,8603,2017.11,8603,1
TAXI,4498,2015.12,4498,1
TAXI,3062,2016.9,3062,1
TAXI,5386,2018.5,5386,1
TAXI,867,2016.12,867,1
TAXI,6643,2015.2,6643,1
TAXI,27719,2017.7,27719,1
TAXI,6207,2016.11,6207,1
TAXI,1069,2017.4,1069,1
TAXI,80,2019.8,80,1
TAXI,32021,2015.6,32021,1
TAXI,2897,2019.4,2897,1
TAXI,3676,2016.10,3676,1
TAXI,10,2017.8,10,1
TAXI,203,2018.1,203,1
TAXI,933,2019.4,933,1
TAXI,288,2017.8,288,1
TAXI,6945,2016.1,6945,1
TAXI,932,2015.9,932,1
TAXI,1291,2017.12,1291,1
TAXI,13,2016.9,13,1
TAXI,11192,2016.4,11192,1
TAXI,35,2018.10,35,1
TAXI,2416,2018.10,2416,1
TAXI,220,2017.2,220,1
TAXI,486,2017.6,486,1
TAXI,455,2018.10,455,1
TAXI,61,2016.10,61,1
TAXI,453,2015.6,453,1
TAXI,668,2019.3,668,1
TAXI,2475,2019.6,2475,1
TAXI,505,2018.3,505,1
TAXI,365,2016.10,365,1
TAXI,3897,2016.6,3897,1
TAXI,688,2019.6,688,1
TAXI,10066,2018.4,10066,1
TAXI,2246,2017.12,2246,1
TAXI,203,2017.9,203,1
TAXI,235,2017.7,235,1
TAXI,1,2019.5,1,1
TAXI,2668,2016.5,2668,1
TAXI,15550,2017.4,15550,1
TAXI,252,2019.8,252,1
TAXI,246,2018.8,246,1
TAXI,14835,2015.10,14835,1
TAXI,1780,2018.2,1780,1
TAXI,515,2019.2,515,1
TAXI,2575,2018.4,2575,1
TAXI,319,2016.1,319,1
TAXI,11,2016.12,11,1
TAXI,1862,2016.6,1862,1
TAXI,13955,2016.12,13955,1
TAXI,423,2018.2,423,1
TAXI,159,2019.7,159,1
TAXI,10343,2016.4,10343,1
TAXI,544,2018.9,544,1
TAXI,451,2015.7,451,1
TAXI,13209,2016.10,13209,1
TAXI,3719,2018.12,3719,1
TAXI,581,2017.10,581,1
TAXI,1787,2015.10,1787,1
TAXI,9095,2016.6,9095,1
TAXI,166,2016.4,166,1
TAXI,2438,2018.9,2438,1
TAXI,21725,2015.12,21725,1
TAXI,59255,2015.12,59255,1
TAXI,528,2015.8,528,1
TAXI,29,2017.5,29,1
TAXI,50,2017.5,50,1
TAXI,9699,2017.4,9699,1
TAXI,3262,2017.5,3262,1
TAXI,4803,2019.1,4803,1
TAXI,35273,2018.8,35273,1
TAXI,4550,2016.7,4550,1
TAXI,3251,2017.9,3251,1
TAXI,22148,2016.1,22148,1
TAXI,941,2018.8,941,1
TAXI,1000,2018.8,1000,1
TAXI,1515,2016.11,1515,1
TAXI,365,2019.3,365,1
TAXI,594,2019.5,594,1
TAXI,2661,2019.3,2661,1
TAXI,22051,2016.7,22051,1
TAXI,14686,2015.8,14686,1
TAXI,1871,2016.5,1871,1
TAXI,742,2015.12,742,1
TAXI,3897,2015.11,3897,1
TAXI,377,2018.10,377,1
TAXI,56104,2016.8,56104,1
TAXI,1704,2019.2,1704,1
TAXI,2344,2018.1,2344,1
TAXI,267,2017.6,267,1
TAXI,8755,2019.1,8755,1
TAXI,1927,2017.12,1927,1
TAXI,6300,2016.12,6300,1
TAXI,302,2015.6,302,1
TAXI,3964,2016.7,3964,1
TAXI,893,2019.6,893,1
TAXI,636,2018.12,636,1
TAXI,9510,2018.5,9510,1
TAXI,13399,2018.9,13399,1
TAXI,350,2017.7,350,1
TAXI,7180,2017.12,7180,1
TAXI,21412,2019.8,21412,1
TAXI,18886,2015.5,18886,1
TAXI,1725,2016.3,1725,1
TAXI,7820,2018.4,7820,1
TAXI,11347,2018.10,11347,1
TAXI,2612,2015.7,2612,1
TAXI,367,2019.4,367,1
TAXI,401,2017.2,401,1
TAXI,4180,2015.12,4180,1
TAXI,10613,2017.8,10613,1
TAXI,403,2017.3,403,1
TAXI,191,2018.1,191,1
LYFT,3936418,2018.8,3936418,3
TAXI,12117,2018.2,12117,1
TAXI,15147,2017.7,15147,1
UBER,14663999,2018.10,14663999,2
TAXI,1131,2016.2,1131,1
VIA,113866,2015.4,113866,4
TAXI,379,2017.10,379,1
TAXI,89,2017.12,89,1
TAXI,126,2019.6,126,1
TAXI,6417,2017.8,6417,1
TAXI,14878,2016.9,14878,1
TAXI,925,2019.4,925,1
TAXI,1453,2018.5,1453,1
TAXI,5258,2015.11,5258,1
TAXI,439,2018.5,439,1
TAXI,654,2018.10,654,1
TAXI,272,2017.8,272,1
TAXI,1,2019.4,1,1
TAXI,2411,2016.6,2411,1
TAXI,4642,2016.9,4642,1
TAXI,226,2017.6,226,1
TAXI,2998,2016.8,2998,1
TAXI,68,2018.9,68,1
TAXI,1239,2017.9,1239,1
TAXI,14254,2016.9,14254,1
TAXI,4162,2016.10,4162,1
TAXI,3284,2017.3,3284,1
TAXI,2673,2016.1,2673,1
TAXI,5172,2016.7,5172,1
TAXI,6,2017.2,6,1
TAXI,1285,2017.11,1285,1
TAXI,4708,2018.6,4708,1
TAXI,118,2018.9,118,1
TAXI,1321,2018.9,1321,1
TAXI,5811,2015.2,5811,1
TAXI,275,2016.1,275,1
TAXI,3237,2018.8,3237,1
TAXI,3205,2016.12,3205,1
TAXI,89,2016.6,89,1
TAXI,31769,2017.5,31769,1
TAXI,843,2017.9,843,1
TAXI,949,2018.7,949,1
TAXI,4500,2016.4,4500,1
TAXI,1350,2019.4,1350,1
TAXI,1181,2015.10,1181,1
TAXI,1565,2018.11,1565,1
TAXI,556,2016.4,556,1
TAXI,3337,2015.11,3337,1
TAXI,327,2018.7,327,1
TAXI,48485,2015.6,48485,1
TAXI,3624,2016.10,3624,1
TAXI,7748,2017.6,7748,1
TAXI,36985,2016.6,36985,1
TAXI,26,2017.8,26,1
TAXI,2750,2017.1,2750,1
TAXI,2930,2018.8,2930,1
TAXI,4756,2018.11,4756,1
TAXI,972,2015.12,972,1
TAXI,91,2016.4,91,1
TAXI,1831,2016.6,1831,1
TAXI,517,2017.9,517,1
TAXI,2,2019.2,2,1
TAXI,19258,2016.12,19258,1
TAXI,1046,2018.10,1046,1
TAXI,2871,2017.9,2871,1
TAXI,168,2018.11,168,1
TAXI,3753,2017.1,3753,1
TAXI,4887,2015.12,4887,1
TAXI,39,2018.10,39,1
TAXI,151,2017.11,151,1
TAXI,8025,2018.9,8025,1
TAXI,2447,2015.11,2447,1
TAXI,519,2018.3,519,1
TAXI,2069,2018.8,2069,1
TAXI,1137,2018.5,1137,1
TAXI,76,2016.3,76,1
TAXI,14,2016.9,14,1
TAXI,4329,2015.7,4329,1
TAXI,1413,2016.4,1413,1
TAXI,9570,2018.2,9570,1
TAXI,2655,2017.6,2655,1
TAXI,2628,2018.2,2628,1
TAXI,1639,2018.10,1639,1
TAXI,199,2018.1,199,1
TAXI,239,2017.11,239,1
TAXI,61,2018.7,61,1
TAXI,1605,2018.11,1605,1
TAXI,4437,2018.5,4437,1
TAXI,3150,2019.9,3150,1
TAXI,3098,2019.6,3098,1
TAXI,345,2018.4,345,1
TAXI,21336,2015.7,21336,1
TAXI,70682,2017.2,70682,1
TAXI,3704,2019.9,3704,1
TAXI,5539,2016.8,5539,1
TAXI,17693,2017.3,17693,1
TAXI,33,2018.7,33,1
TAXI,9045,2016.11,9045,1
TAXI,13018,2015.11,13018,1
TAXI,8917,2017.7,8917,1
TAXI,3113,2018.4,3113,1
TAXI,1408,2016.1,1408,1
TAXI,7762,2015.4,7762,1
TAXI,1251,2015.12,1251,1
TAXI,12,2018.2,12,1
TAXI,8310,2018.9,8310,1
TAXI,4660,2015.5,4660,1
TAXI,898,2016.9,898,1
