name,value,year,lastValue
TAXI,11077654,2015.1,11077654
LYFT,434476,2015.1,434476
UBER,1871075,2015.1,1871075
VIA,261311,2015.1,261311
TAXI,3023057,2015.2,3023057
UBER,2178305,2015.2,2178305
TAXI,3200461,2015.3,3200461
UBER,2259575,2015.3,2259575
TAXI,3804380,2015.4,3804380
LYFT,80613,2015.4,80613
VIA,113866,2015.4,113866
UBER,2280332,2015.4,2280332
TAXI,3298147,2015.5,3298147
LYFT,100862,2015.5,100862
UBER,1854691,2015.5,1854691
VIA,121127,2015.5,121127
TAXI,4198287,2015.6,4198287
LYFT,111111,2015.6,111111
UBER,2816572,2015.6,2816572
VIA,155658,2015.6,155658
TAXI,4339075,2015.7,4339075
LYFT,194815,2015.7,194815
UBER,3107558,2015.7,3107558
VIA,175349,2015.7,175349
TAXI,5211003,2015.8,5211003
UBER,3316381,2015.8,3316381
LYFT,318717,2015.8,318717
VIA,201490,2015.8,201490
TAXI,6502458,2015.9,6502458
UBER,3709270,2015.9,3709270
LYFT,399622,2015.9,399622
VIA,218364,2015.9,218364
TAXI,20542636,2016.1,20542636
UBER,7007436,2016.1,7007436
LYFT,1112748,2016.1,1112748
VIA,305570,2016.1,305570
TAXI,9230100,2016.2,9230100
UBER,4827339,2016.2,4827339
LYFT,667766,2016.2,667766
VIA,361156,2016.2,361156
TAXI,9454811,2016.3,9454811
UBER,4949743,2016.3,4949743
LYFT,691455,2016.3,691455
VIA,429572,2016.3,429572
TAXI,9807645,2016.4,9807645
UBER,5103751,2016.4,5103751
LYFT,810447,2016.4,810447
VIA,446919,2016.4,446919
TAXI,10417676,2016.5,10417676
LYFT,994444,2016.5,994444
UBER,5391879,2016.5,5391879
VIA,464775,2016.5,464775
TAXI,10488091,2016.6,10488091
UBER,5358138,2016.6,5358138
LYFT,1073973,2016.6,1073973
VIA,503517,2016.6,503517
TAXI,10726808,2016.7,10726808
UBER,5899045,2016.7,5899045
LYFT,951376,2016.7,951376
VIA,516639,2016.7,516639
TAXI,10960072,2016.8,10960072
LYFT,1095428,2016.8,1095428
UBER,5893649,2016.8,5893649
VIA,558442,2016.8,558442
TAXI,11532918,2016.9,11532918
LYFT,1068625,2016.9,1068625
UBER,6481751,2016.9,6481751
VIA,590351,2016.9,590351
TAXI,31108753,2017.1,31108753
LYFT,2904741,2017.1,2904741
VIA,719232,2017.1,719232
UBER,7736951,2017.1,7736951
TAXI,12903873,2017.2,12903873
LYFT,1619126,2017.2,1619126
UBER,7244518,2017.2,7244518
VIA,649054,2017.2,649054
TAXI,15193042,2017.3,15193042
LYFT,1923915,2017.3,1923915
VIA,728254,2017.3,728254
UBER,8641724,2017.3,8641724
TAXI,14308818,2017.4,14308818
LYFT,1766732,2017.4,1766732
VIA,750114,2017.4,750114
UBER,8181383,2017.4,8181383
TAXI,15249691,2017.5,15249691
LYFT,1934661,2017.5,1934661
UBER,8794695,2017.5,8794695
VIA,854056,2017.5,854056
TAXI,15011164,2017.6,15011164
LYFT,2010328,2017.6,2010328
UBER,8898156,2017.6,8898156
VIA,786935,2017.6,786935
TAXI,15343609,2017.7,15343609
LYFT,2278279,2017.7,2278279
UBER,8962215,2017.7,8962215
VIA,904477,2017.7,904477
TAXI,15836370,2017.8,15836370
LYFT,2384976,2017.8,2384976
UBER,8992847,2017.8,8992847
VIA,984296,2017.8,984296
TAXI,16567375,2017.9,16567375
LYFT,2528638,2017.9,2528638
UBER,9525248,2017.9,9525248
VIA,926998,2017.9,926998
TAXI,43040663,2018.1,43040663
LYFT,4246575,2018.1,4246575
UBER,14663999,2018.1,14663999
VIA,1072428,2018.1,1072428
TAXI,19312568,2018.2,19312568
LYFT,3144050,2018.2,3144050
UBER,11506356,2018.2,11506356
VIA,928405,2018.2,928405
TAXI,21946229,2018.3,21946229
LYFT,3471602,2018.3,3471602
UBER,13462091,2018.3,13462091
VIA,1027292,2018.3,1027292
TAXI,21004673,2018.4,21004673
LYFT,3332985,2018.4,3332985
UBER,13222485,2018.4,13222485
VIA,1003354,2018.4,1003354
TAXI,21543914,2018.5,21543914
LYFT,3400356,2018.5,3400356
UBER,13579992,2018.5,13579992
VIA,1011268,2018.5,1011268
TAXI,21120156,2018.6,21120156
LYFT,3664808,2018.6,3664808
UBER,13267600,2018.6,13267600
VIA,744501,2018.6,744501
TAXI,21571559,2018.7,21571559
LYFT,3632375,2018.7,3632375
UBER,14063243,2018.7,14063243
VIA,852703,2018.7,852703
TAXI,22101006,2018.8,22101006
LYFT,3936418,2018.8,3936418
UBER,14060879,2018.8,14060879
VIA,878956,2018.8,878956
TAXI,22137066,2018.9,22137066
LYFT,3960252,2018.9,3960252
UBER,14049967,2018.9,14049967
VIA,940708,2018.9,940708
